subject_id,timepoints,raw_rois,raw_rois_match_expected,nan_pct,null_channels_pct,univ_outliers_pct,mv_outliers_count,mv_outliers_pct,mv_analysis_method,mv_skipped_reason,discard_low_tp,discard_high_nan,discard_high_univ,discard_high_mv,discard_mv_skipped,to_discard_overall
013_S_2324,140,170,True,2.353,0.000,0.168,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_2389,140,170,True,2.353,0.000,0.241,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4236,140,170,True,2.353,0.000,0.103,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4268,140,170,True,2.353,0.000,0.318,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4395,140,170,True,2.353,0.000,0.426,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4580,140,170,True,2.353,0.000,0.633,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4595,140,170,True,2.353,0.000,0.491,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4616,140,170,True,2.353,0.000,0.361,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4731,140,170,True,2.353,0.000,0.172,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4768,140,170,True,2.353,0.000,0.357,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4791,140,170,True,2.353,0.000,0.275,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4917,140,170,True,2.353,0.000,0.658,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_4985,140,170,True,2.353,0.000,0.370,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_5071,140,170,True,2.353,0.000,0.460,0,0.000,LedoitWolf,,False,False,False,False,False,False
013_S_6206,197,170,True,2.353,0.000,0.434,15,7.614,MCD,,False,False,False,False,False,False
013_S_6725,197,170,True,2.353,0.000,0.107,15,7.614,MCD,,False,False,False,False,False,False
013_S_6768,197,170,True,2.353,0.000,2.321,15,7.614,MCD,,False,False,True,False,False,True
013_S_6970,197,170,True,2.353,0.000,0.431,15,7.614,MCD,,False,False,False,False,False,False
013_S_6975,197,170,True,2.353,0.000,1.159,15,7.614,MCD,,False,False,False,False,False,False
013_S_7097,197,170,True,2.353,0.000,0.275,15,7.614,MCD,,False,False,False,False,False,False
014_S_2308,197,170,True,2.353,0.000,0.101,15,7.614,MCD,,False,False,False,False,False,False
014_S_6087,197,170,True,2.353,0.000,0.425,15,7.614,MCD,,False,False,False,False,False,False
014_S_6765,197,170,True,2.353,0.000,0.180,15,7.614,MCD,,False,False,False,False,False,False
014_S_6944,197,170,True,2.353,0.000,0.107,15,7.614,MCD,,False,False,False,False,False,False
018_S_2133,140,170,True,2.353,0.000,0.633,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_2155,140,170,True,2.353,0.000,0.262,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_2180,140,170,True,2.353,0.000,0.095,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4257,140,170,True,2.353,0.000,0.469,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4313,140,170,True,2.353,0.000,0.082,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4349,140,170,True,2.353,0.000,0.047,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4400,140,170,True,2.353,0.000,0.211,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4597,140,170,True,2.353,0.000,0.387,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4696,140,170,True,2.353,0.000,0.448,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4733,140,170,True,2.353,0.000,0.460,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4809,140,170,True,2.353,0.000,0.762,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4868,140,170,True,2.353,0.000,0.400,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_4889,140,170,True,2.353,0.000,0.344,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_5074,140,170,True,2.353,0.000,0.349,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_5240,140,170,True,2.353,0.000,0.215,0,0.000,LedoitWolf,,False,False,False,False,False,False
018_S_6207,197,170,True,2.353,0.000,0.557,15,7.614,MCD,,False,False,False,False,False,False
018_S_6351,197,170,True,2.353,0.000,0.049,15,7.614,MCD,,False,False,False,False,False,False
018_S_6414,197,170,True,2.353,0.000,0.122,15,7.614,MCD,,False,False,False,False,False,False
019_S_4252,140,170,True,2.353,0.000,0.275,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4285,140,170,True,2.353,0.000,0.361,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4293,140,170,True,2.353,0.000,0.551,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4367,140,170,True,2.353,0.000,0.404,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4477,140,170,True,2.353,0.000,0.228,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4548,140,170,True,2.353,0.000,0.215,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4549,140,170,True,2.353,0.000,0.331,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4680,140,170,True,2.353,0.000,0.267,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_4835,140,170,True,2.353,0.000,0.086,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_5012,140,170,True,2.353,0.000,0.103,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_5019,140,170,True,2.353,0.000,0.340,0,0.000,LedoitWolf,,False,False,False,False,False,False
019_S_6186,197,170,True,2.353,0.000,0.138,15,7.614,MCD,,False,False,False,False,False,False
019_S_6315,197,170,True,2.353,0.000,0.251,15,7.614,MCD,,False,False,False,False,False,False
019_S_6483,197,170,True,2.353,0.000,0.131,15,7.614,MCD,,False,False,False,False,False,False
019_S_6573,197,170,True,2.353,0.000,0.205,15,7.614,MCD,,False,False,False,False,False,False
019_S_6585,197,170,True,2.353,0.000,0.498,15,7.614,MCD,,False,False,False,False,False,False
019_S_6630,197,170,True,2.353,0.000,0.095,15,7.614,MCD,,False,False,False,False,False,False
019_S_6635,197,170,True,2.353,0.000,0.226,15,7.614,MCD,,False,False,False,False,False,False
019_S_6668,197,170,True,2.353,0.000,0.342,15,7.614,MCD,,False,False,False,False,False,False
